name,price
Selenium自动化测试 基于 Python 语言,38.60
Python社会媒体挖掘 python数据科学入门教程书籍,48.80
Python机器学习实践指南,53.10
Python金融实战,62.40
Python计算机视觉编程,50.00
Python程序设计案例课堂,52.40
码农翻身：用故事给技术加点料,57.80
用Python写网络爬虫 第2版,34.60
Python数据可视化,54.20
Python基础教程(第2版)(修订版) 零基础入门学习Python 编程语言与程序设计 新华正版书,64.20
Python：统计人的视角/统计数据分析与应用丛书,27.00
包邮 数据结构与算法：Python语言描述/Python书籍结构算法/计算机教材|4909472,31.50
Python数据分析与挖掘实战/大数据技术丛书,56.60
【全3册】Python神经网络编程+深度学习 [deep learning]+机器学习,257.90
Python+Spark 2.0+Hadoop机器学习与大数据实战 林大贵 计算机与互联,73.80
Python 3.6零基础入门与实战,47.20
Python绝技：运用Python成为顶级数据工程师,70.30
Python数据科学：技术详解与商业实践 计算机与互联网 书籍|8049590,69.30
青少年学Python,58.50
Python趣味编程入门,41.00
【虎彩 按需出版】Python高级编程 {法}Tarek Ziade 著 人民邮电出版社,67.50
Flask Web开发 基于Python的Web应用开发实战2版 Web开发入门教材,43.47
Python算法教程,50.00
Python密码学编程,57.80
python编程 从入门到实践 零基础学python3.5 pathon核心技术网络爬虫书籍,78.00
Python网络编程（第3版）,62.30
电子工业：Python与量化投资：从基础到实战 * 王小川等,74.25
MicroPython入门指南 邵子扬 电子工业出版社,48.80
包邮 Python设计模式 第2版   python3程序设计 编程基础教程书籍,29.60
包邮 Python网络爬虫从入门到实践/计算机网络爬虫基础入门到精通/书籍|6558042,34.30
Python编程之美：最佳实践指南,66.50
深度学习入门 基于Python的理论与实现 斋藤康毅 Python源代码分析书籍,39.80
Python 金融大数据分析 python3爬虫数据分析 入门基础教程 金融分析处理与开发书籍 数学,69.50
包邮 OpenCV 3计算机视觉：Python语言实现（原书第2版）|4966057,34.30
Python极客项目编程,54.50
像计算机科学家一样思考Python(第2版),35.50
Python深度学习实战,60.00
从零开始学Python数据分析（视频教学版）,54.50
【正版】流畅的Python  python进阶书籍 计算机编程语言 数据分析从入门到实践爬虫核心编程,89.00
笨办法学Python3 python基础教程编程入门 编程python视频教程python书籍 py,38.00
Python基础教程 第3版Python简明教程书籍 Python编程从入门到实践 灵程序设计丛书,81.20
Python网络编程(第3版),58.50
"Python Cookbook(中文版,第3版)",78.30
Python测试驱动开发 使用Django Selenium和JavaScript进行Web编程,93.80
流利的Python语言（影印版 英文版）,93.20
Python微控制器编程从零开始 使用MicroPython,37.90
毫无障碍学Python,46.40
零起点Python大数据与量化交易 何海群 9787121306594,74.30
和孩子一起玩编程 少儿趣味编程 零基础编程入门自学教程 Python儿童编程书籍 STEM编程课程书,51.00
Python和Pygame游戏开发指南,49.40
中学生可以这样学Python 青少年编程 小学生编程 书籍,28.00
利用Python进行数据分析 python基础教程 python核心编程学习手册 计算机网络程序爬虫,59.20
Python编程导论 第2版 计算机编程入门 MOOC教材python编程入门 python编程从入,44.17
解析Python网络爬虫 核心技术 Scrapy框架 分布式爬虫书籍,36.80
Python Web开发实战 董伟明,81.80
Python程序设计开发宝典,55.90
