name,price
Python 3 面向对象编程(第2版) (加)Dusty Phillips(达斯帝·菲利,77.80
Python网络编程(Linux) Python语言编程入门教程书籍,27.60
Python编程导论 *2版 Python 3 MIT热门MOOC教材 计算机科学基础知,51.40
零起点Python大数据与量化交易,69.30
Python社会媒体挖掘,61.40
Python数据可视化编程实战 *2版 数据分析处理教程 数据科学 matplotlib,50.40
包邮 用Python写网络爬虫第2版+笨办法学Python 3 共2册图书籍,79.90
"【北京发货】Python语言及其应用 [美] 卢布诺维克(Bill Lubanovic),",54.80
预售 疯狂Python讲义+Python从小白到大牛 李刚  关东升零基础学Python书籍,154.30
利用Python进行数据分析（原书第2版）  python数据分析 数据采集数据挖掘精通数据科,77.36
Python数据分析基础 Python编程数据处理从入门到实践核心编程基础教程网络爬虫入门书籍pyt,44.17
程序设计导论：Python计算与应用开发实践（原书第2版）,87.10
流畅的Python/图灵程序设计丛书,109.26
Python基础教程 刘浪 9787115398680 人民邮电出版社,33.80
Python科学计算(第2版)（附光盘）,94.40
Python编程-从入门到实践 从基本概念到完整项目开发 机器学习 数据处理 编程语言程序设计,57.80
Python自动化运维：技术与最佳实践,53.60
Selenium 2自动化测试实战 基于Python语言,46.60
零压力学Python,57.70
包邮 Python地理数据处理+Python科学计算基础教程 python数据分析实战教程,95.80
Web接口开发与自动化测试 基于Python语言+自动化平台测试开发 Python测试开发实战 2册,96.00
PYTHON基础教程(第3版),76.20
C++ Primer Plus(第6版)(中文版) 赠送视频学习课程 计算机语言程序从入门到精深书籍,65.80
Python 金融大数据分析 python3爬虫数据分析 入门基础教程 金融分析处理与开发书籍 数学,69.50
包邮 Python程序员面试算法宝典+剑指Offer 名企面试官精讲典型编程题书籍 2本,94.60
程序设计导论：Python语言实践（英文版）,109.20
从零开始学Python网络爬虫 Python编程 Python入门到实践 网络爬虫书籍,46.90
[正版二手] Python数据分析实战9787115432209【意】内利/人民邮电,24.00
包邮 2本 精通Python爬虫框架Scrapy +用Python写网络爬虫 第2版,77.00
包邮小学生C++趣味编程+青少年学Python 趣学Python教程书籍,102.80
Python3网络爬虫开发实战 崔庆才Scrapy数据分析处理手册 数据抓取指南,75.00
利用Python进行数据分析(原书第2版),89.55
包邮 Selenium自动化测试之道——基于Python和Java语言 计算机 软件开发,45.80
包邮 Python机器学习实例+Python机器学习算法 机器学习入门教程书籍,95.00
PYTHON自然语言处理,66.40
Python编程-从入门到实践 从基本概念到完整项目开发 机器学习 数据处理 编程语言程序设计,75.70
Flask Web开发 基于Python的Web应用开发实战 第2版,54.40
从零开始学Python网络爬虫,45.80
你也能看得懂的Python算法书,47.10
编写高质量代码：改善Python程序的91个建议张颖赖勇浩9787111467045机械工,109.00
正版 Python游戏编程快速上手 第4版 [美]Al Sweigart(斯维加特) 97,53.60
零基础学Minecraft编程图文版+我的Python世界 玩《Minecraft 我的世界书籍,109.80
PYTHON核心编程(第2版),65.90
Python数据分析与挖掘实战/大数据技术丛书,56.60
【全3册】Python神经网络编程+深度学习 [deep learning]+机器学习,257.90
